roll_no,name,nationality,start_term,end_term
114,Edgardo L. Paras,Filipino,"April 16, 1986","July 4, 1992"
115,Florentino P. Feliciano,Filipino,"August 8, 1986","December 13, 1995"
116,Teodoro R. Padilla,Filipino,"January 12, 1987","August 22, 1997"
117,Abdulwahid A. Bidin,Filipino,"January 12, 1987","May 7, 1995"
118,Emilio A. Gancayco,Filipino,"January 12, 1987","August 20, 1991"
119,Abraham F. Sarmiento,Filipino,"January 25, 1987","October 8, 1991"
120,Irene Cortes,Filipino,"February 1, 1987","October 20, 1990"
121,Carolina Griño-Aquino,Filipino,"February 2, 1988","October 22, 1993"
110,Pedro Yap,Filipino,"April 19, 1988","June 30, 1988"
122,Leo D. Medialdea,Filipino,"May 2, 1988","November 7, 1992"
111,Marcelo Fernan,Filipino,"July 1, 1988","December 6, 1991"
123,Florenz Regalado,Filipino,"July 29, 1988","October 13, 1998"
124,Hilario Davide Jr.,Filipino,"January 24, 1991","November 29, 1998"
125,Flerida Ruth Romero,Filipino,"October 21, 1991","August 1, 1999"
126,Rodolfo A. Nocon,Filipino,"December 2, 1991","March 15, 1994"
112,Andres Narvasa,Filipino,"December 8, 1991","November 30, 1998"
127,Josue N. Bellosillo,Filipino,"March 3, 1992","November 13, 2003"
128,Jose Melo,Filipino,"August 10, 1992","May 30, 2002"
129,Jose C. Campos Jr.,Filipino,"September 3, 1992","April 9, 1993"
130,Camilo D. Quiason,Filipino,"February 1, 1993","July 18, 1995"
131,Reynato Puno,Filipino,"June 28, 1993","December 7, 2007"
132,Jose C. Vitug,Filipino,"June 28, 1993","July 15, 2004"
133,Santiago M. Kapunan,Filipino,"January 5, 1994","August 12, 2002"
134,Vicente V. Mendoza,Filipino,"June 7, 1994","April 5, 2003"
135,Ricardo J. Francisco,Filipino,"January 5, 1995","February 13, 1998"
136,Regino C. Hermosisima Jr.,Filipino,"January 10, 1995","October 18, 1997"
137,Artemio Panganiban,Filipino,"October 5, 1995","December 19, 2005"
138,Justo P. Torres Jr.,Filipino,"March 11, 1996","November 1, 1997"
139,Antonio M. Martinez,Filipino,"November 10, 1997","February 2, 1999"
140,Leonardo A. Quisumbing,Filipino,"January 15, 1998","November 6, 2009"
141,Fidel P. Purisima,Filipino,"January 20, 1998","October 28, 2000"
142,Bernardo P. Pardo,Filipino,"September 30, 1998","February 11, 2002"
124,Hilario Davide Jr.,Filipino,"November 30, 1998","December 20, 2005"
143,Arturo B. Buena,Filipino,"January 5, 1999","March 25, 2002"
144,Minerva P. Gonzaga-Reyes,Filipino,"January 5, 1999","September 25, 2001"
145,Consuelo Ynares-Santiago,Filipino,"April 6, 1999","October 5, 2009"
146,Sabino R. De Leon Jr.,Filipino,"October 12, 1999","June 9, 2002"
147,Angelina Sandoval-Gutierrez,Filipino,"December 22, 2000","February 28, 2008"
148,Antonio Carpio,Filipino,"October 26, 2001","October 26, 2019"
149,Alicia Austria-Martinez,Filipino,"April 9, 2002","April 30, 2009"
150,Renato Corona,Filipino,"April 9, 2002","May 17, 2010"
151,Conchita Carpio-Morales,Filipino,"August 26, 2002","June 19, 2011"
152,"Romeo J. Callejo, Sr.",Filipino,"August 26, 2002","April 28, 2007"
153,Adolfo S. Azcuna,Filipino,"October 17, 2002","February 16, 2009"
154,Dante O. Tiñga,Filipino,"July 4, 2003","May 11, 2009"
155,Minita V. Chico-Nazario,Filipino,"February 10, 2004","December 5, 2009"
156,Cancio Garcia,Filipino,"October 7, 2004","October 30, 2007"
137,Artemio Panganiban,Filipino,"December 20, 2005","December 7, 2007"
157,Presbitero Velasco Jr.,Filipino,"March 31, 2006","August 8, 2018"
131,Reynato Puno,Filipino,"December 8, 2007","May 17, 2010"
158,Antonio Eduardo B. Nachura,Filipino,"February 7, 2007","June 13, 2011"
159,Ruben T. Reyes,Filipino,"August 2, 2007","January 3, 2009"
160,Teresita Leonardo-de Castro,Filipino,"December 3, 2007","August 28, 2018"
161,Arturo D. Brion,Filipino,"March 17, 2008","December 29, 2016"
162,Diosdado Peralta,Filipino,"January 14, 2009","October 22, 2019"
163,Lucas Bersamin,Filipino,"April 3, 2009","November 26, 2018"
164,Mariano del Castillo,Filipino,"July 29, 2009","July 29, 2019"
165,Roberto A. Abad,Filipino,"August 7, 2009","May 22, 2014"
166,Martin Villarama Jr.,Filipino,"November 6, 2009","January 16, 2016"
167,Jose P. Perez,Filipino,"December 26, 2009","December 14, 2016"
168,Jose C. Mendoza,Filipino,"January 4, 2010","August 13, 2017"
150,Renato Corona,Filipino,"May 17, 2010","May 19, 2012"
169,Maria Lourdes Sereno,Filipino,"August 13, 2010","August 24, 2012"
170,Bienvenido L. Reyes,Filipino,"August 20, 2011","July 6, 2017"
171,Estela Perlas-Bernabe,Filipino,"September 16, 2011",Incumbent
169,Maria Lourdes Sereno,Filipino,"August 24, 2012","May 11, 2018"
172,Marvic Leonen,Filipino,"November 21, 2012",Incumbent
173,Francis Jardeleza,Filipino,"August 19, 2014","September 26, 2019"
174,Alfredo Benjamin Caguioa,Filipino,"January 22, 2016",Incumbent
175,Samuel R. Martires,Filipino,"March 2, 2017","August 3, 2018"
176,Noel G. Tijam,Filipino,"March 8, 2017","January 5, 2019"
177,Andres B. Reyes Jr.,Filipino,"July 12, 2017","May 11, 2020"
178,Alexander Gesmundo,Filipino,"August 14, 2017",Incumbent
179,Jose Reyes Jr.,Filipino,"August 9, 2018","September 18, 2020"
160,Teresita Leonardo-de Castro,Filipino,"August 28, 2018","October 10, 2018"
180,Ramon Paul Hernando,Filipino,"October 10, 2018",Incumbent
163,Lucas Bersamin,Filipino,"November 26, 2018","October 18, 2019"
181,Rosmari Carandang,Filipino,"November 26, 2018",Incumbent
182,Amy Lazaro-Javier,Filipino,"March 6, 2019",Incumbent
183,Henri Jean Paul B. Inting,Filipino,"May 27, 2019",Incumbent
184,Rodil V. Zalameda,Filipino,"August 5, 2019",Incumbent
162,Diosdado Peralta,Filipino,"October 23, 2019",Incumbent
185,Mario V. Lopez,Filipino,"December 3, 2019",Incumbent
186,Edgardo L. Delos Santos,Filipino,"December 3, 2019",Incumbent
187,Samuel H. Gaerlan,Filipino,"January 8, 2020",Incumbent
188,Priscilla Baltazar-Padilla,Filipino,"July 16, 2020","November 3, 2020"
189,Ricardo Rosario,Filipino,"October 8, 2020",Incumbent
190,Jhosep Lopez,Filipino,"January 26, 2021",Incumbent
